time,census_label,years_since_georges,n_adults_total,n_juveniles_total,n_seedlings_total,total_inflorescences,total_flowers,total_fruits,total_pollinaria,infl_per_adult,flow_per_adult,fruit_per_adult,poll_per_adult
1,Mar 1999,0.44,264,116,23,509,92,4,30,1.928030303030303,0.3484848484848485,0.015151515151515152,0.11363636363636363
2,Sep 1999,0.94,290,88,37,218,54,0,1,0.7517241379310344,0.18620689655172415,0,0.0034482758620689655
3,Mar 2000,1.44,311,96,25,216,68,1,1,0.6945337620578779,0.21864951768488747,0.003215434083601286,0.003215434083601286
4,Sep 2000,1.94,324,104,20,237,76,1,2,0.7314814814814815,0.2345679012345679,0.0030864197530864196,0.006172839506172839
5,Mar 2001,2.44,333,131,76,225,47,3,11,0.6756756756756757,0.14114114114114115,0.009009009009009009,0.03303303303303303
6,Sep 2001,2.94,303,116,60,142,38,2,1,0.46864686468646866,0.1254125412541254,0.006600660066006601,0.0033003300330033004
7,Mar 2002,3.44,289,118,20,185,48,5,1,0.6401384083044983,0.16608996539792387,0.01730103806228374,0.0034602076124567475
8,Sep 2002,3.94,288,89,3,171,36,11,0,0.59375,0.125,0.03819444444444445,0
9,Mar 2003,4.44,274,138,14,128,36,4,0,0.46715328467153283,0.13138686131386862,0.014598540145985401,0
10,Sep 2003,4.94,243,191,37,82,34,2,4,0.3374485596707819,0.13991769547325103,0.00823045267489712,0.01646090534979424
11,Mar 2004,5.44,217,202,11,118,25,2,4,0.543778801843318,0.1152073732718894,0.009216589861751152,0.018433179723502304
12,Sep 2004,5.94,179,192,6,111,20,5,2,0.6201117318435754,0.11173184357541899,0.027932960893854747,0.0111731843575419
