pop_num,time,inflorescences,adults
209,1,10,6
209,2,11,9
209,3,4,9
209,4,5,9
209,5,6,8
209,6,5,7
209,7,6,7
209,8,3,7
209,9,1,8
209,10,3,10
209,11,1,10
209,12,0,0
229,1,51,26
229,2,46,26
229,3,23,27
229,4,23,29
229,5,22,30
229,6,0,18
229,7,8,17
229,8,16,18
229,9,14,16
229,10,10,13
229,11,21,12
229,12,17,7
231,1,30,16
231,2,7,16
231,3,10,17
231,4,14,17
231,5,21,21
231,6,12,18
231,7,16,20
231,8,25,21
231,9,42,34
231,10,6,32
231,11,10,18
231,12,21,17
234,1,12,6
234,2,7,7
234,3,0,7
234,4,5,7
234,5,3,8
234,6,0,6
234,7,0,6
234,8,0,6
234,9,0,4
234,10,0,2
234,11,0,2
234,12,0,2
235,1,18,9
235,2,9,11
235,3,7,12
235,4,6,13
235,5,7,14
235,6,6,14
235,7,19,14
235,8,13,14
235,9,10,13
235,10,4,10
235,11,5,10
235,12,2,4
243,1,54,27
243,2,6,30
243,3,21,33
243,4,24,35
243,5,22,34
243,6,21,36
243,7,18,34
243,8,35,35
243,9,18,35
243,10,24,35
243,11,28,31
243,12,12,24
250,1,64,32
250,2,15,33
250,3,24,35
250,4,15,35
250,5,12,35
250,6,15,44
250,7,22,45
250,8,16,50
250,9,9,48
250,10,15,48
250,11,7,40
250,12,8,35
255,1,0,0
255,2,0,0
255,3,13,9
255,4,11,11
255,5,13,11
255,6,0,9
255,7,12,10
255,8,9,12
255,9,8,11
255,10,0,7
255,11,6,7
255,12,4,6
266,1,0,0
266,2,0,0
266,3,0,0
266,4,0,0
266,5,0,0
266,6,0,0
266,7,0,0
266,8,0,0
266,9,5,5
266,10,5,9
266,11,2,10
266,12,13,15
268,1,32,19
268,2,8,30
268,3,10,34
268,4,15,35
268,5,14,37
268,6,3,29
268,7,3,28
268,8,5,32
268,9,0,23
268,10,6,20
268,11,18,25
268,12,8,23
274,1,6,4
274,2,3,4
274,3,2,4
274,4,2,4
274,5,0,4
274,6,1,4
274,7,0,4
274,8,1,3
274,9,0,3
274,10,0,3
274,11,1,2
274,12,2,2
275,1,14,7
275,2,8,10
275,3,5,11
275,4,7,11
275,5,4,11
275,6,5,13
275,7,5,12
275,8,6,12
275,9,0,12
275,10,0,11
275,11,6,14
275,12,5,14
904,1,30,15
904,2,19,15
904,3,16,15
904,4,20,15
904,5,14,15
904,6,6,17
904,7,7,17
904,8,9,18
904,9,4,15
904,10,3,15
904,11,5,11
904,12,6,9
905,1,34,20
905,2,28,23
905,3,9,20
905,4,14,23
905,5,10,24
905,6,9,21
905,7,18,17
905,8,7,12
905,9,0,5
905,10,0,0
905,11,0,0
905,12,0,0
906,1,38,19
906,2,7,21
906,3,15,21
906,4,16,22
906,5,23,22
906,6,4,15
906,7,12,11
906,8,9,9
906,9,0,8
906,10,0,8
906,11,3,6
906,12,1,3
907,1,36,18
907,2,6,17
907,3,9,19
907,4,18,20
907,5,17,19
907,6,11,17
907,7,3,15
907,8,2,12
907,9,1,10
907,10,0,5
907,11,0,5
907,12,0,4
908,1,10,5
908,2,6,5
908,3,3,5
908,4,4,5
908,5,5,5
908,6,8,6
908,7,3,2
908,8,4,2
908,9,4,4
908,10,1,3
908,11,2,3
908,12,1,2
911,1,12,6
911,2,7,6
911,3,11,6
911,4,9,6
911,5,15,6
911,6,13,5
911,7,14,5
911,8,4,5
911,9,10,5
911,10,3,5
911,11,3,5
911,12,7,7
913,1,10,5
913,2,14,5
913,3,15,5
913,4,15,5
913,5,6,6
913,6,15,6
913,7,3,4
913,8,0,2
913,9,0,2
913,10,0,0
913,11,0,0
913,12,0,0
914,1,18,9
914,2,1,6
914,3,4,7
914,4,0,7
914,5,2,7
914,6,4,6
914,7,10,8
914,8,3,7
914,9,1,7
914,10,2,6
914,11,0,6
914,12,4,5
915,1,18,9
915,2,5,9
915,3,7,7
915,4,7,7
915,5,7,6
915,6,0,0
915,7,0,1
915,8,0,1
915,9,0,1
915,10,0,0
915,11,0,0
915,12,0,0
916,1,6,3
916,2,1,2
916,3,3,2
916,4,2,2
916,5,1,2
916,6,0,2
916,7,0,2
916,8,1,2
916,9,0,1
916,10,0,1
916,11,0,0
916,12,0,0
926,1,6,3
926,2,4,5
926,3,5,6
926,4,5,6
926,5,1,8
926,6,4,10
926,7,6,10
926,8,3,8
926,9,1,4
926,10,0,0
926,11,0,0
926,12,0,0
